cluster_id	total_sequences	dominant_category	dominant_count	dominant_percentage	True_Positive_count	True_Positive_percentage	True_Negative_count	True_Negative_percentage	False_Positive_count	False_Positive_percentage	False_Negative_count	False_Negative_percentage
116	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
117	5	True Negative	3	60.0	1	20.0	3	60.0	0	0.0	1	20.0
118	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
119	5	True Negative	3	60.0	1	20.0	3	60.0	0	0.0	1	20.0
120	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
121	6	True Positive	3	50.0	3	50.0	1	16.666666666666664	2	33.33333333333333	0	0.0
122	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
123	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
124	5	True Positive	3	60.0	3	60.0	1	20.0	1	20.0	0	0.0
125	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
126	11	True Positive	10	90.9090909090909	10	90.9090909090909	0	0.0	1	9.090909090909092	0	0.0
127	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
128	4	True Positive	3	75.0	3	75.0	1	25.0	0	0.0	0	0.0
129	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
130	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
131	5	True Positive	4	80.0	4	80.0	0	0.0	1	20.0	0	0.0
132	4	False Negative	2	50.0	1	25.0	1	25.0	0	0.0	2	50.0
133	4	True Positive	3	75.0	3	75.0	0	0.0	1	25.0	0	0.0
134	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
135	6	True Negative	3	50.0	3	50.0	3	50.0	0	0.0	0	0.0
136	8	True Positive	3	37.5	3	37.5	2	25.0	2	25.0	1	12.5
137	9	True Negative	5	55.55555555555556	1	11.11111111111111	5	55.55555555555556	0	0.0	3	33.33333333333333
138	5	True Positive	3	60.0	3	60.0	1	20.0	0	0.0	1	20.0
139	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
140	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
141	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
142	3	True Positive	2	66.66666666666666	2	66.66666666666666	0	0.0	1	33.33333333333333	0	0.0
143	8	True Positive	4	50.0	4	50.0	0	0.0	3	37.5	1	12.5
144	8	False Positive	3	37.5	2	25.0	2	25.0	3	37.5	1	12.5
145	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
146	5	False Positive	2	40.0	2	40.0	1	20.0	2	40.0	0	0.0
147	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
148	5	True Positive	3	60.0	3	60.0	1	20.0	1	20.0	0	0.0
149	7	True Positive	6	85.71428571428571	6	85.71428571428571	1	14.285714285714285	0	0.0	0	0.0
150	5	True Negative	5	100.0	0	0.0	5	100.0	0	0.0	0	0.0
151	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
152	3	False Negative	3	100.0	0	0.0	0	0.0	0	0.0	3	100.0
153	6	True Negative	3	50.0	2	33.33333333333333	3	50.0	0	0.0	1	16.666666666666664
154	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
155	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
156	4	True Positive	2	50.0	2	50.0	1	25.0	1	25.0	0	0.0
157	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
158	5	True Negative	4	80.0	0	0.0	4	80.0	1	20.0	0	0.0
159	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
160	5	True Negative	2	40.0	1	20.0	2	40.0	2	40.0	0	0.0
161	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
162	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
163	6	True Negative	2	33.33333333333333	2	33.33333333333333	2	33.33333333333333	2	33.33333333333333	0	0.0
164	6	True Negative	5	83.33333333333334	0	0.0	5	83.33333333333334	1	16.666666666666664	0	0.0
165	7	False Positive	4	57.14285714285714	2	28.57142857142857	1	14.285714285714285	4	57.14285714285714	0	0.0
166	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
167	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
168	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
169	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
170	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
171	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
172	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
173	5	True Positive	5	100.0	5	100.0	0	0.0	0	0.0	0	0.0
174	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
175	4	True Negative	3	75.0	1	25.0	3	75.0	0	0.0	0	0.0
176	5	False Positive	5	100.0	0	0.0	0	0.0	5	100.0	0	0.0
177	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
178	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
179	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
180	3	True Positive	3	100.0	3	100.0	0	0.0	0	0.0	0	0.0
181	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
182	6	False Positive	3	50.0	2	33.33333333333333	1	16.666666666666664	3	50.0	0	0.0
183	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
184	3	False Positive	2	66.66666666666666	1	33.33333333333333	0	0.0	2	66.66666666666666	0	0.0
185	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
186	12	True Negative	4	33.33333333333333	4	33.33333333333333	4	33.33333333333333	2	16.666666666666664	2	16.666666666666664
187	3	False Positive	3	100.0	0	0.0	0	0.0	3	100.0	0	0.0
188	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
189	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
190	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
191	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
192	4	True Negative	4	100.0	0	0.0	4	100.0	0	0.0	0	0.0
193	9	True Positive	4	44.44444444444444	4	44.44444444444444	1	11.11111111111111	1	11.11111111111111	3	33.33333333333333
194	3	True Negative	3	100.0	0	0.0	3	100.0	0	0.0	0	0.0
195	6	True Negative	6	100.0	0	0.0	6	100.0	0	0.0	0	0.0
