"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000781","chromosome, telomeric region","36/1936","174/19880",0.206896551724138,2.12453690510117,4.8937233085518,1.03548436787468e-05,0.000125837676570534,8.11021654767148e-05,"PRKDC/H4C15/SLF2/WRAP53/TOX4/DDB1/PPP1R10/SMC6/XRCC5/ERCC1/MSH2/SETX/LRWD1/NLRP2/THOC5/TNKS2/EID3/HNRNPA2B1/RBBP4/XRCC6/PCNA/PTGES3/MACROH2A1/PARP1/CHD4/CDC73/H2AX/SSB/MCM5/SUN1/NBN/CBX3/ALYREF/FEN1/NAT10/ORC1",36
"GO:0030027","lamellipodium","40/1936","203/19880",0.197044334975369,2.02336848104873,4.81383196163356,1.17933531220051e-05,0.000140930569807961,9.08295091326361e-05,"RAC1/CDC42BPB/NCKAP1/PABPC1/ARPC2/CASP8/ARPC5/ACTB/ITGB1/CFL1/ITGAV/CYFIP1/ARPC3/CTNNA1/HAX1/MYO9B/FLOT1/CAPZB/RAB13/CDK5/PTPN13/ABI1/NRBP1/SCRIB/PIP5K1A/P4HB/CORO1C/CAPRIN1/PAK1/CTNNB1/VASP/ABI2/SLC39A6/CORO1B/ALS2/FERMT2/DDX3X/IGF2BP1/SNX1/RDX",40
"GO:0046540","U4/U6 x U5 tri-snRNP complex","15/1936","45/19880",0.333333333333333,3.4228650137741,5.34453205628605,1.29641235598493e-05,0.000152381583482163,9.82096676923872e-05,"SART1/SNRNP200/RBM42/SNRPG/PRPF8/SNRPD1/LSM3/LSM2/SNRNP40/SNU13/EFTUD2/PRPF31/PRPF6/SNRPN/SNRPD2",15
"GO:0000974","Prp19 complex","8/1936","14/19880",0.571428571428571,5.86776859504132,5.98451610149268,1.39795290371878e-05,0.000158984845443729,0.000102465458635832,"CRNKL1/CDC5L/HSPA8/PLRG1/PRPF19/CTNNBL1/POLR2A/U2AF2",8
"GO:0097525","spliceosomal snRNP complex","24/1936","97/19880",0.247422680412371,2.54068330919315,4.99624219019089,1.41249766094855e-05,0.000158984845443729,0.000102465458635832,"DDX39B/SART1/SNRNP200/RBM42/SNRPG/PRPF8/SNRNP70/LUC7L3/SNRPD1/SF3B2/LSM3/LUC7L2/LSM2/SNRNP40/SNU13/PRPF40A/SF3B1/EFTUD2/PRPF31/U2SURP/SF3A1/PRPF6/SNRPN/SNRPD2",24
"GO:0016363","nuclear matrix","29/1936","129/19880",0.224806201550388,2.30844384649882,4.89717600392465,1.41911159112952e-05,0.000158984845443729,0.000102465458635832,"SMARCC1/AHCTF1/MATR3/ACTL6A/ACTB/CFL1/VIM/ANXA2/STAG1/KIF4A/PSPC1/HES1/UHRF1/PHB2/NONO/OGG1/PRPF40A/HNRNPA2B1/ARFGEF1/MORC2/XPOT/AKAP8L/SMARCD1/HNRNPM/SMARCD2/DCAF7/KAT8/HNRNPU/GMCL1",29
"GO:0005838","proteasome regulatory particle","10/1936","22/19880",0.454545454545455,4.66754320060105,5.65339250054122,1.6139794446432e-05,0.000177758815388745,0.000114565249879849,"PSMD7/PSMC6/PSMD8/PSMD4/ADRM1/PSMD1/PSMD2/PSMD10/PSMC3/PSMD9",10
"GO:0071004","U2-type prespliceosome","9/1936","18/19880",0.5,5.13429752066116,5.7639048621134,1.66106563891853e-05,0.000177758815388745,0.000114565249879849,"SNRPG/SNRNP70/LUC7L3/LUC7L2/PRPF40A/SF3B1/SF3A1/SNRPN/U2AF2",9
"GO:0071010","prespliceosome","9/1936","18/19880",0.5,5.13429752066116,5.7639048621134,1.66106563891853e-05,0.000177758815388745,0.000114565249879849,"SNRPG/SNRNP70/LUC7L3/LUC7L2/PRPF40A/SF3B1/SF3A1/SNRPN/U2AF2",9
"GO:0097526","spliceosomal tri-snRNP complex","15/1936","46/19880",0.326086956521739,3.34845490477902,5.23776850259111,1.75146266336292e-05,0.000184676283769296,0.000119023546318316,"SART1/SNRNP200/RBM42/SNRPG/PRPF8/SNRPD1/LSM3/LSM2/SNRNP40/SNU13/EFTUD2/PRPF31/PRPF6/SNRPN/SNRPD2",15
"GO:0043596","nuclear replication fork","14/1936","41/19880",0.341463414634146,3.50634952630518,5.27671925877782,1.83801107516581e-05,0.00019099332476723,0.000123094868344438,"SMARCA5/MUS81/ERCC5/CDC5L/MMS22L/PLRG1/PCNA/PRPF19/PARP1/CARM1/SMARCAD1/BAZ1B/PRIM2/WDHD1",14
"GO:0005832","chaperonin-containing T-complex","7/1936","11/19880",0.636363636363636,6.53456048084147,6.0308952936517,1.90475997431766e-05,0.00019510184308368,0.000125742801312098,"CCT6A/CCT7/CCT4/CCT3/CCT2/CCT5/CCT8",7
"GO:0090734","site of DNA damage","29/1936","131/19880",0.221374045801527,2.27320042899502,4.80230989980454,1.93503183048806e-05,0.000195410960909851,0.000125942027217829,"SMARCA5/PARP9/UIMC1/ARPC2/ARPC5/SLF2/WRAP53/ELOA/DDB1/ARPC3/SMC6/MMS22L/XRCC5/UBQLN4/ARPC4/HUS1B/ARPC1A/RAD18/CYREN/MACROH2A1/PRPF19/PARP1/VCP/CHD4/INTS3/H2AX/NBN/SMARCAD1/CBX3",29
"GO:0000932","P-body","24/1936","100/19880",0.24,2.46446280991736,4.8223143448839,2.43817420191815e-05,0.000242801514274349,0.000156485157111413,"CNOT3/NBDY/PSMA2/HAX1/BTBD1/LSM3/PAN3/DDX6/YBX1/LSM2/CNOT1/DCP1A/LSM14A/RC3H2/CAPRIN1/YTHDF1/RC3H1/CSDE1/PSMC3/EDC3/LSM1/IGF2BP1/DCP2/EDC4",24
"GO:0030532","small nuclear ribonucleoprotein complex","25/1936","107/19880",0.233644859813084,2.39920444890708,4.76680181541904,2.71785264399243e-05,0.000263958952708615,0.000170121089685211,"DDX39B/SART1/SNRNP200/RBM42/SNRPG/PRPF8/SNRNP70/LUC7L3/SNRPD1/SF3B2/LSM3/LUC7L2/LSM2/SNRNP40/SNU13/PRPF40A/SF3B1/EFTUD2/ARFGEF1/PRPF31/U2SURP/SF3A1/PRPF6/SNRPN/SNRPD2",25
"GO:1902554","serine/threonine protein kinase complex","30/1936","140/19880",0.214285714285714,2.2004132231405,4.68178566417741,2.72426255236227e-05,0.000263958952708615,0.000170121089685211,"CSNK2B/ERC1/CCNI/CDKN1A/PRKDC/CCNG1/PHKA2/XRCC5/CCNK/CDK5/CSNK2A2/CDK11B/PRKACA/PRKAR2A/CCNC/CCND3/PRKAR1B/XRCC6/TBC1D5/PCNA/CCNB1/CDK7/STRADA/PRKAR2B/CDK16/ATG13/CDK8/CHUK/PRKCI/ATG101",30
"GO:0070603","SWI/SNF superfamily-type complex","23/1936","95/19880",0.242105263157895,2.48608090474119,4.7689914321061,3.07825246971566e-05,0.000294280936104817,0.000189663555677919,"SMARCC1/SMARCA5/BPTF/ACTL6A/ACTB/BAZ2A/CHD3/ACTR6/SF3B1/MYO1C/RBBP4/UCHL5/BCL7A/CHD4/SMARCD1/SMARCD2/MBD3/SUZ12/YY1AP1/ANP32E/BAZ1B/DDX21/DPF2",23
"GO:0005874","microtubule","75/1936","486/19880",0.154320987654321,1.58465972859912,4.28625428888306,4.01820710653031e-05,0.000373872775209084,0.000240960358682798,"SLAIN2/TBCA/CEP162/TBCB/TBCE/SRPRB/DYNC1H1/TTLL7/CCT6A/CCT7/TPT1/CCT4/TCP11L1/HAUS6/TEKTIP1/GAS8/CCT3/LRPPRC/EML3/TUBA1C/CCT2/DYNC2LI1/TUBB/DCTN1/CALM3/MAPRE1/CDK5/SAXO2/KIF4A/PDE4DIP/DLG1/ZNF207/TUBB6/KIF1B/NEK7/REEP3/ARHGEF2/DYNC1LI1/NUDC/CHMP4B/CHMP1B/CCT5/PARP4/CCT8/RUSC1/CAMSAP2/STIM1/HAUS1/CLASP1/AURKA/MDM1/CHMP6/FAM161B/SKA2/ARFGEF2/DYNLRB1/CLIP1/EMD/MAP1A/KIF21B/KIF2C/DNM2/TPGS2/CLASP2/TUBGCP3/MAP1LC3B/TUBA1A/KIF5A/REEP4/HNRNPU/DYNC1I2/TUBGCP5/TTLL3/FKBP4/NUSAP1",75
"GO:0031519","PcG protein complex","15/1936","49/19880",0.306122448979592,3.14344746162928,4.93433792688889,4.07106018781852e-05,0.000373872775209084,0.000240960358682798,"CSNK2B/MTF2/UBAP2L/PHF19/CBX2/TRIM37/RING1/CSNK2A2/PCGF3/EED/SKP1/RBBP4/PCGF2/PHC3/SUZ12",15
"GO:0001726","ruffle","36/1936","185/19880",0.194594594594595,1.99821308912218,4.48044803802743,4.16171557960937e-05,0.000373872775209084,0.000240960358682798,"ARF4/RAC1/NCKAP1/EEF1A1/ITGB1/CFL1/DIAPH1/ITGAV/CYFIP1/MTMR14/ITGA5/MYO9B/ACTN1/SRC/GNAS/TMEM87A/PIP5K1A/ARHGEF2/MYO1C/CORO1C/RPS3/ERBB2/PAK1/ATP6V1B2/RAB5A/CLIP1/ALS2/EZR/CLASP2/MTMR6/AIF1L/RASGRP2/AKT2/SNX5/RASA1/EPB41L5",36
"GO:0000346","transcription export complex","7/1936","12/19880",0.583333333333333,5.99001377410468,5.67944116396624,4.18543350166124e-05,0.000373872775209084,0.000240960358682798,"DDX39B/ZC3H11A/CHTOP/THOC5/NXF1/ALYREF/SARNP",7
"GO:0008540","proteasome regulatory particle, base subcomplex","7/1936","12/19880",0.583333333333333,5.99001377410468,5.67944116396624,4.18543350166124e-05,0.000373872775209084,0.000240960358682798,"PSMC6/PSMD4/PSMD1/PSMD2/PSMD10/PSMC3/PSMD9",7
"GO:0098798","mitochondrial protein-containing complex","35/1936","178/19880",0.196629213483146,2.01910576655214,4.48605316182612,4.22366733499802e-05,0.000373872775209084,0.000240960358682798,"VDAC1/HADHA/AFG3L2/TIMM17A/HADHB/MRPS30/MFN1/CHCHD3/MRPL42/MRPS33/MRPS27/MRPS15/APOO/DAP3/HSPA9/MRPS9/TIMM44/SLC25A6/PHB2/MRPL2/HSD17B10/MICU1/MRPL41/MRPL18/PMPCA/MRPS16/MRPL24/NDUFAB1/MRPS35/MRPS11/MRPS18B/BAX/MRPL10/SLC25A4/ISCU",35
"GO:0005852","eukaryotic translation initiation factor 3 complex","8/1936","16/19880",0.5,5.13429752066116,5.4339880385529,5.00968785863486e-05,0.000438042218858682,0.000282317454421143,"EIF3CL/EIF3D/EIF3G/EIF3C/EIF3F/EIF3L/EIF3I/DDX3X",8
"GO:0030135","coated vesicle","54/1936","322/19880",0.167701863354037,1.72206252245778,4.29072649641005,5.19958999277379e-05,0.000449169400580579,0.000289488903846251,"AP2A1/AP2B1/CLTA/AP1G1/SAR1A/SPG21/COPG1/RAB8B/HLA-E/B2M/MCFD2/AP2A2/ATP6V0A1/COPA/PACS1/ATP6V0B/IER3IP1/SNX3/TNK2/SEC13/HAX1/ATP6AP2/RAB13/HSPA8/SEC16B/CRYZL2P-SEC16B/COL7A1/VAMP8/NUMB/PDCD6/OCRL/TBC1D5/DNAJC5/RAB8A/TFRC/HLA-C/TMED10/AP2M1/VPS41/LDLR/SURF4/ATP6V1B2/RAB5A/TMED5/PICALM/DNM2/GAK/ARCN1/HLA-B/HEATR5B/ATP6V1A/SCARB2/CNIH1/ATP6V1D",54
"GO:0045335","phagocytic vesicle","30/1936","145/19880",0.206896551724138,2.12453690510117,4.46405422662494,5.464973719929e-05,0.000466474542522512,0.000300642037976044,"STXBP1/TAP1/RAB8B/HLA-E/B2M/CALR/ATP6V0A1/LAMP1/ATP6V0B/ITGAV/VIM/SNX3/STXBP3/INPP5B/MTOR/ACTG1/VAMP8/FLNB/ZDHHC5/MYO1C/CDC42/OCRL/RAB8A/ANXA11/HLA-C/TAP2/RAB5A/DNM2/HLA-B/TRIM14",30
"GO:0005657","replication fork","19/1936","74/19880",0.256756756756757,2.63653115925843,4.63267745700828,6.25866799563585e-05,0.00052793705327893,0.000340254520134259,"SMARCA5/MUS81/ERCC5/CDC5L/MMS22L/UHRF1/PLRG1/RAD18/PCNA/PRPF19/PARP1/CARM1/H2AX/NBN/SMARCAD1/RAD51C/BAZ1B/PRIM2/WDHD1",19
"GO:1902911","protein kinase complex","31/1936","154/19880",0.201298701298701,2.06705484598047,4.36634352930149,7.14759560395246e-05,0.000595910005585339,0.000384062970640775,"CSNK2B/ERC1/CCNI/CDKN1A/PRKDC/CCNG1/PHKA2/XRCC5/CCNK/CDK5/CSNK2A2/CDK11B/PRKACA/PRKAR2A/CCNC/CCND3/PRKAR1B/XRCC6/TBC1D5/PCNA/CCNB1/CDK7/STRADA/PRKAR2B/PRKAG1/CDK16/ATG13/CDK8/CHUK/PRKCI/ATG101",31
"GO:0032587","ruffle membrane","23/1936","101/19880",0.227722772277228,2.33839293020211,4.42927319966513,8.56929993714935e-05,0.000705144887084848,0.000454464663334432,"ARF4/RAC1/EEF1A1/ITGB1/CFL1/DIAPH1/ITGAV/ITGA5/SRC/PIP5K1A/ARHGEF2/MYO1C/CORO1C/RPS3/ERBB2/PAK1/EZR/CLASP2/MTMR6/AIF1L/RASGRP2/AKT2/EPB41L5",23
"GO:0033290","eukaryotic 48S preinitiation complex","8/1936","17/19880",0.470588235294118,4.8322800194458,5.1921781749601,8.65449791680149e-05,0.000705144887084848,0.000454464663334432,"EIF1AX/EIF3CL/EIF3D/EIF3G/EIF3C/EIF3F/EIF3L/EIF3I",8
"GO:0000228","nuclear chromosome","42/1936","236/19880",0.177966101694915,1.82746182938787,4.20029042998901,8.8517484558073e-05,0.000713112768855487,0.000459599949390823,"SMARCA5/MUS81/MORF4L1/BRMS1/RCC1/ACTL6A/ERCC5/LRPPRC/CDC5L/SINHCAF/MMS22L/SETX/EXOSC9/ACTR6/LRWD1/HUS1B/PLRG1/RBBP4/PCNA/MACROH2A1/PRPF19/PARP1/UCHL5/NCAPD3/NCAPD2/CARM1/H2AX/MCM5/SMARCAD1/DHX9/IK/CHD1/YY1AP1/GINS1/ANP32E/BAZ1B/SUDS3/HNRNPU/PRIM2/BRCA1/ORC1/WDHD1",42
